Data Type;Physical;Mental;Tactical;Name;Level;Class;Squadron Max Attributes;XP Reward;Mission Available?;Sort Order
Squadron;20;120;140;Squadron Attributes;2;;280;;;
Member;101;26;57;Cecily;45;Gladiator;;;;1
Member;40;26;114;Nanasomi;43;Archer;;;;2
Member;110;26;46;Hastaloeya;44;Marauder;;;;3
Member;62;36;76;Totodi;40;Pugilist;;;;4
Member;56;24;94;Inghilswys;40;Lancer;;;;5
Member;24;88;62;Sofine;40;Arcanist;;;;6
Member;25;101;50;Nunulupa Tatalupa;41;Thaumaturge;;;;7
Member;26;120;34;Awayuki;43;Conjurer;;;;8
Mission;165;170;150;Military Courier;1;;;7500;;
Mission;150;255;195;Outskirts Patrol;1;;;9000;;
Mission;155;195;250;Beastmen Recon;5;;;10500;;
Mission;305;210;130;Supply Wagon Escort;10;;;12000;;
Mission;320;145;225;Pest Eradication;15;;;13500;;
Mission;265;435;125;Frontline Support;20;;;15000;;
Mission;270;145;425;Officer Escort;20;;;16500;;
Mission;280;155;435;Border Patrol;25;;;19500;No;
Mission;440;175;300;Stronghold Recon;30;;;22500;;
Mission;455;315;190;Search and Rescue;35;;;25500;;
Mission;170;480;310;Allied Maneuvers;35;;;27000;No;
Mission;315;325;340;Flagged Mission: Crystal Recovery;40;;;30000;;
